CustomerID,Age,Income,SpendingScore
1,25,45000,60
2,34,54000,75
3,28,42000,55
4,45,61000,80
5,50,75000,90
6,22,35000,40
7,38,58000,65
8,41,64000,70
9,29,48000,50
10,31,52000,85
11,150,50000,50
12,47,68000,72
13,26,41000,45
14,35,1000000,60
15,55,82000,95
16,24,39000,55
17,39,57000,68
18,42,66000,500
19,30,51000,88
20,33,56000,78
21,49,71000,82
22,27,43000,48
23,36,59000,66
24,44,65000,74
25,32,53000,80
26,51,77000,92
27,23,37000,42
28,40,60000,62
29,43,63000,71
30,28,47000,52
31,34,55000,86
32,48,69000,76
33,25,40000,44
34,37,58000,67
35,46,67000,75
36,31,50000,84
37,52,79000,94
38,24,38000,46
39,39,61000,64
40,41,62000,73
41,29,46000,54
42,35,54000,82
43,50,73000,88
44,26,42000,49
45,38,57000,69
46,45,66000,77
47,30,49000,81
48,54,80000,96
49,23,36000,41
50,42,64000,72
