customer_id,age,income,monthly_spend,purchase_frequency,brand_loyalty,price_sensitivity,preferred_channel
CUST_001,25,45000,120,4,7.5,High,Online
CUST_002,42,85000,450,12,9.2,Low,In-Store
CUST_003,35,62000,210,6,5.0,Medium,Online
CUST_004,58,110000,520,10,8.8,Low,In-Store
CUST_005,22,32000,85,2,4.1,High,Mobile
CUST_006,45,78000,310,8,6.5,Medium,In-Store
CUST_007,31,54000,160,5,5.5,High,Online
CUST_008,61,95000,410,9,8.0,Low,In-Store
CUST_009,28,48000,140,4,6.2,High,Mobile
CUST_010,38,68000,280,7,7.0,Medium,Online
CUST_011,52,105000,480,11,9.5,Low,In-Store
CUST_012,24,38000,95,3,4.5,High,Online
CUST_013,41,72000,260,6,6.0,Medium,Mobile
CUST_014,55,92000,390,8,7.8,Low,In-Store
CUST_015,29,51000,150,5,5.8,High,Online
CUST_016,36,65000,230,7,6.8,Medium,Mobile
CUST_017,48,82000,340,9,7.5,Low,In-Store
CUST_018,33,58000,180,5,5.2,High,Online
CUST_019,59,102000,460,10,8.5,Low,In-Store
CUST_020,26,42000,110,3,4.8,High,Mobile
